Title,Total_people_rated,Price,Rating
adidas Men's Lite Racer Adapt 3.0 Running Shoe,11482,49.0,4.5
Sperry Men's Striper II CVO Washable Sneaker,2470,41.95,4.6
Rockport Men's Eureka Walking Shoe,19004,58.3,4.4
Fila Men's Memory Workshift-m Shoes,27286,39.99,4.3
adidas Men's Lite Racer Adapt 4.0 Running Shoes,4867,44.99,4.6
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,11553,27.22,4.1
SKDOIUL Men Sport Running Shoes Mesh Breathable Trail Runners Fashion Sneakers,4207,39.01,4.2
KEEZMZ Men's Running Shoes Fashion Breathable Sneakers Mesh Soft Sole Casual Athletic Lightweight,6710,29.99,4.1
"3ANGNI Sport Running Insoles For Men Women, Arch Support Insoles for Plantar Fasciitis, Shoes Insole Flat Feet, Foot Pain, Heel Spur, Shock Absorption Orthotic Inserts Cushion Comfort Standing All Day",11,27.98,4.3
adidas Men's X9000L1 Sportswear Shoe,632,59.99,4.5
Columbia Men's Fairbanks Low Sneaker,1193,89.95,4.6
Bruno Marc Men's Mesh Sneakers Oxfords Lightweight Shoes,5341,52.99,4.6
adidas Men's Lite Racer Adapt 4.0 Running Shoe,729,49.99,4.6
Clarks Men's Tilden Walk Oxford,7380,67.99,4.6
adidas Men's Questar Flow Nxt Running Shoe,3646,60.0,4.3
"adidas Men's HVC Wrestling Shoe, Black/White/Iron Metallic, 12",263,52.09,4.5
adidas Men's Kaptir 2.0 Running Shoe,3459,68.95,4.6
Skechers Men's Go Walk Max-athletic Air Mesh Slip on Walking Shoe,29936,65.0,4.5
Tommy Hilfiger Men's Pandora Sneaker,6995,44.99,4.4
Columbia Men's Bonehead PFG Boat Shoes,78,74.99,4.5
ASICS Men's Gel-Venture 8,7151,44.95,4.5
adidas Men's Racer Tr21 Running Shoe,2304,59.99,4.6
New Balance Men's 515 V3 Sneaker,1840,74.98,4.6
adidas Men's Grand Court Tennis Shoes,26498,39.0,4.7
adidas Men's S2g Spikeless Golf Shoes,188,92.44,4.7
"adidas Men's X9000L1 Sportswear Shoe, Shadow Navy/Core Black/Carbon, 11",63,62.84,4.5
Rockport Men's Garett Plain Toe Oxford,924,130.0,4.6
Skechers Men's Flex Advantage Bendon Work Shoe,12195,70.0,4.5
Clarks Men's Tilden Cap Oxford Shoe,9597,59.95,4.6
Skechers Men's Cessnock Food Service Shoe,20242,65.95,4.5
Merrell Men's Moab 2 WTPF Hiking Shoe,7812,80.0,4.5
Nike Men's Flex Control Tr4 Cross Trainer,1740,68.0,4.6
Saucony Men's Ride 14 Running Shoe,554,66.91,4.6
PUMA Men's Cell Surin 2 Prism Cross-Trainer Shoe,10541,80.0,4.5
Reebok Men's ZigWild Tr 6 Trail Running Shoe,1481,87.37,4.6
"OLUKAI Mio Li Men's Athletic Shoe, Lightweight & Breathable Mesh, Comfort Fit & Wet Grip Rubber Soles, Premium Embossed Leather Eyestays",433,130.0,4.6
Nike Men's Air Force 1 '07 An20 Basketball Shoe,4207,139.95,4.6
Reebok Men's Workout Plus Sneaker,5647,69.95,4.4
adidas Men's Runfalcon 2.0 Running Shoe,698,54.0,4.6
Tommaso Strada Ready to Ride Mens Indoor Cycling Shoes with Pre-Installed SPD Cleats for Echelon & Bowflex Spin Bikes - Optimized Bike Shoes for Men with Required SPD Shoe Clips for Spinning,468,99.95,4.4
"Shoe Horn - 7.5 Inch, Solid Steel - Durable Metal, Ergonomic Handle - Red Moose",3460,11.98,4.8
Clarks Men's Shacre Ii Run Shoes Moccasin,826,65.02,4.6
New Balance Men's 510 V5 Trail Running Shoe,4350,74.95,4.4
MUOU Men's Road Running Shoes Athletic Sport Lightweight Sneakers for Men and Women,1113,38.99,4.2
Nike Men's Free Run 2 Running Shoes Sneaker 537732 004,38,85.26,4.7
adidas Men's Questar 2022 Running Shoe,168,59.79,4.6
Sperry Men's Mako 2-Eye Boat Shoe,3397,99.95,4.7
"Men's Sperry, Bahama II Boat Shoe",2462,54.02,4.6
Saucony Men's Cohesion 13 Running Shoe,3357,49.95,4.6
Columbia Men's Flow Centre Sneaker,454,77.74,4.4
Reebok Men's Bb4500 Hi 2 Sneaker,16007,50.0,4.5
Saucony Men's Core Endorphin Speed 2 Running Shoe,249,159.95,4.7
DUDHUH Running Shoes for Men Comfortable Athletic Cross Trainer Casual Walking Fashion Mens Tennis Sock Sneakers,748,43.99,4.3
SKDOIUL Sports Sneakers for Men Mesh Breathable Fashion Youth Big Boys Trail Walking Shoes Black White Red,4271,39.9,4.2
Saucony Men's Kinvara 12 Running Shoe,1353,77.27,4.6
Footjoy Men's Men's Fury Golf Shoes,538,79.99,4.6
New Balance Men's Striker V3 Golf Shoe,179,109.95,4.6
New Balance Men's 577 V1 Hook and Loop Walking Shoe,15594,79.95,4.3
Columbia Men's Bahama Vent Loco Relax III Boat Shoe,443,48.0,4.7
Body Glove Men's 3T Barefoot Cinch Water Shoe,3374,39.99,4.3
Rockport Men's Chranson Walking Shoe,7759,71.39,4.3
Slow Man Men's Running Shoes - Men's Walking Shoes Knit Mesh Breathable Athletic Sneakers Slip On Tennis Comfortable Cushioning Lightweight Gym Sport Shoes,947,41.99,4.3
"PUMA mens Axelion Running Shoe, Black/High Risk Red, 10.5 US",60,60.35,4.5
Columbia Men's Redmond Iii Hiking Shoe,188,67.26,4.4
Salomon Men's Alphacross 3 Trail Running,399,83.06,4.5
Reebok Men's Classic Nylon Sneaker,5230,54.95,4.7
Columbia Men's Bahama Vent PFG Boat Shoe,4782,69.95,4.7
Columbia Men's Slack Tide Slip PFG Boat Shoe,359,42.0,4.5
Giro Stylus Men's Road Cycling Shoes,226,82.45,4.5
Under Armour Men's Charged Impulse 2 Running Shoe,696,69.99,4.5
Saucony Unisex-Adult Men's Cohesion 11 Running Shoe,3579,58.89,4.5
WHITIN Men's Wide Minimalist Barefoot Sneakers | Zero Drop Sole | Optimal Relaxation,1069,39.99,4.5
PUMA Men's Ignite Fasten8 Golf Shoe,657,82.33,4.6
Champion Rally Pro,2611,79.99,4.7
New Balance Men's 877 V1 Walking Shoe,7826,99.95,4.4
Dr. Scholl's Men's Sync Oxford,3197,70.0,4.4
New Balance Men's Fresh Foam Beacon V3 Running Shoe,1211,89.95,4.5
Nike Men's Ad Comfort NSW Running,82,61.34,4.4
Men's Black Canvas Sneaker Low Top Classic Fashion Shoes with Soft Insole Causal Dress Shoes for Men Comfortable Walking Shoes,53,29.99,4.4
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,11553,39.09,4.1
Nike Infinity G Men's Waterproof Spiked Golf Shoes Black-White Size 10.5W,3,101.43,5.0
ASICS Men's Gel-Nimbus 23 Running Shoes,3051,149.99,4.6
ALTRA Men's AL0A547L Lone Peak 6 Trail Running Shoe,409,134.89,4.6
Cole Haan Men's Original Grand Shortwing Oxford Shoe,6494,159.95,4.7
FootJoy Men's Premiere Series-Packard Golf Shoe,310,199.95,4.6
KEEN Men's Targhee III Waterproof Leather Hiking Shoe,3390,164.95,4.5
TOMS Men's Trvl Lite 2.0 Low Sneaker,58,69.95,4.5
Sperry Men's Gold Cup Authentic Original 2-Eye Boat Shoe,1346,96.99,4.6
Giro Cadet Men's Road Cycling Shoes,123,123.7,4.7
FootJoy Men's Flex Golf Shoe,2002,99.95,4.6
"FootFitter Western Cedar Boot Tree - Best Shoe Trees for Western Cowboy Style Boots with USA Wood - CW12, 2 PACK",145,57.95,4.6
STACY ADAMS Men's Desmond Cap Toe Monk Strap Loafer,509,64.98,4.6
Reebok Men's Nano X1 Cross Trainer,3015,139.99,4.4
Nike Free Run 2 Mens Shoes,28,77.47,4.1
New Balance Men's Breeze V2 Golf Shoe,1044,79.95,4.7
Fila MB Stitch,33,71.25,4.5
adidas Men's ZG21 Golf Shoe,646,169.0,4.7
PUMA Men's Proadapt Alphacat Golf Shoe,59,150.1,4.7
FootJoy Men's Fj Fuel Golf Shoe,244,129.95,4.6
New Balance Men's Fresh Foam Pacesl Boa Golf Shoe,54,127.11,4.5
PUMA Golf Grip Fusion Pro 3.0 Spikeless Shoes,310,79.99,4.6
UIN Men's Walking Travel Shoes Slip On Canvas Casual Loafers Lightweight Comfort Art Painted Fashion Sneaker,903,80.0,4.5
adidas Men's Zg21 Motion Primegreen Golf Shoes,156,171.97,4.7
adidas Men's Codechaos Spikeless Golf Shoes,50,99.0,4.5
Body Glove Men's Sidewinder Water Shoe,125,29.99,4.2
New Balance Men's Fresh Foam Arishi V3 Running Shoe,6209,64.89,4.5
ECCO Men's S-Three Boa Gore-tex Waterproof Hybrid Golf Shoe,38,230.0,4.7
adidas Solarglide 5 Shoes Men's,12,70.93,4.4
Nike Men's Roshe G Tour Golf Shoes,370,112.05,4.4
Feetmat Men's Non Slip Gym Sneakers Lightweight Breathable Athletic Running Walking Tennis Shoes,2729,40.99,4.0
"adidas Men's ZG21 Motion Primegreen Golf Shoes, Non-Dyed/Halo Mint/Non-Dyed, 12",1,89.99,5.0
Merrell Men's Jungle Moc Slip-On Shoe,32582,55.28,4.7
Puma Men's 193849 Golf Shoe,59,152.92,4.2
"NIKE Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning",18420,97.61,4.6
"Fizik Tempo Overcurve R5, Unisex Cycling Shoe",946,105.56,4.5
Giro Ranger Mens Mountain Cycling Shoes,130,109.95,4.5
FootJoy Men's Premiere Series-Tarlow Golf Shoe,227,199.95,4.7
"Tommaso Strada Mens Cycling Shoes for Road Bikes – Universally Compatible with All Shoe Clips & Bike Cleats, from SPD to Look Delta to Speedplay – Bike Shoes for Road Biking & Indoor Cycling",294,74.95,4.3
Clarks Men's Escalade Step,6588,54.0,4.5
New Balance Men's Fresh Foam Arishi V1 Running Shoe,6459,84.97,4.5
Columbia Men's Tamiami PFG Boat Shoe,369,74.99,4.6
adidas Men's X9000l2 Trail Running Shoe,180,37.68,4.2
FootJoy Men's Sneaker-Previous Season Style Golf Shoes,1130,99.95,4.5
Nike Men's Stroke Running Shoe,861,82.7,4.4
Stacy Adams Men's Gala Cap-Toe Tuxedo Lace-Up Oxford Shoe,1575,49.4,4.6
Reebok Men's Work N Cushion 4.0 Walking Shoe,2408,50.0,4.3
Skechers Men's GOrun Consistent-Athletic Workout Running Walking Shoe Sneaker with Air Cooled Foam,7601,65.0,4.5
Columbia Men's Bahama Vent Hightide Boat Shoe,207,56.31,4.6
adidas Men's Supernova Cushion,1224,55.26,4.4
Clarks Men's Whiddon Step Loafer,362,90.0,4.4
HUK Men's Brewster Slip on Wet Traction Fishing & Deck Shoes Boat,47,59.99,4.6
Dr. Scholl's Shoes Men's Harrington Work Shoe,1905,74.99,4.4
Merrell Men's Moab 3 Hiking Shoe,11,76.99,4.2
Columbia Men's Redmond Iii Waterproof Hiking Shoe,264,100.0,4.6
"OluKai Nanea Li Men's Sneaker Shoes, Weather-Resistant & Breathable Canvas, Comfort Fit & Wet Grip Rubber Soles",2,120.0,3.5
Nautica Mens Athletic Water Shoes | Aqua Socks |Quick Dry | Slip-on/Elastic Lace Sandals - Marcc/Wesson,423,26.98,4.5
Skechers GO GOLF Men's Max Golf Shoe,5025,46.18,4.6
FootJoy Men's Fj Flex Coastal Golf Shoe,181,99.95,4.6
Nike Unisex-Adult Fitness Shoes,1594,67.31,4.6
Columbia Men's Summertide Water Shoe,266,64.66,4.5
Salomon Men's Outline GTX Hiking,1138,97.46,4.4
Skechers Men's Gowalk 6-Stretch Fit Slip-on Athletic Performance Walking Shoe,910,62.19,4.6
Brooks Men's Ghost 14 Neutral Running Shoe,5413,129.95,4.7
"Reebok Men's Work N Cushion 4.0 Walking Shoe, Black/Cold Grey",1407,50.31,4.3
Rockport Men's Get Your Kicks Slip-On Loafer,1833,65.97,4.2
Merrell Men's Jungle Moc LTR 2 Moccasin,1698,85.0,4.5
Nunn Bush Men's Sherman Slip-Resistant Work Shoe Oxford Sneaker,1851,55.05,4.1
New Balance Men's Dynasoft Pesu V1 Running Shoe,718,50.99,4.4
Rockport Men's M7100 Milprowalker,4957,72.99,4.4
Sperry Men's Soletide U-Throat Sneaker,186,51.3,4.5
Stacy Adams Men's Dickinson Cap-Toe Lace-up Oxford,5365,62.36,4.6
Columbia Men's Bahama Vent Loco Relax Iii Boat Shoe,89,40.0,4.7
Reebok Men's Floatride Energy 3.0 Running Shoe,205,70.33,4.6
Columbia Men's Dorado CVO PFG Boat Shoe,1370,68.35,4.6
Fila mens Memory Workshift,339,43.98,4.4
adidas Men's Hoops 3.0 Basketball Shoe,74,61.88,4.6
New Balance Men's Fresh Foam Arishi V3 Classic Running Shoe,1267,77.44,4.5
Brooks Men's Revel 5 Neutral Running Shoe,828,99.95,4.7
3T BAREFOOT MAX Water Shoe,1728,50.0,4.2
Skechers Men's Torque Waterproof Golf Shoe,4751,79.99,4.5
adidas Men's Solarthon Primegreen Spikeless Golf Shoes,127,91.83,4.7
adidas Men's Mat Hog 2.0 Wrestling Shoe,973,58.75,4.5
Tommy Hilfiger Men's Phero Sneaker,502,37.46,4.6
adidas Men's Vulc Raid3r Skate Shoe,7,54.83,4.5
Clarks Men's Bradley Vibe Oxford,308,60.63,4.5
adidas Men's Adipower 4orged S Golf Shoe,1555,54.99,4.6
Dr. Scholl's Shoes Men's Winder II Work Shoe,3107,70.0,4.2
Rockport Men's Cold Spring Plus Low Tie Hiking Shoe,145,50.0,4.1
adidas Unisex's Low-Top Adi-Kick I Martial Arts Taekwondo Karate Training Shoes Trainers,1102,61.38,4.5
KEEN Men's Jasper-m Hiking Shoe,1104,124.95,4.3
ALTRA Men's AL0A546Z Superior 5 Trail Running Shoe,306,97.0,4.5
adidas Men's Tech Fall 2.0 Wrestling Shoe,382,130.0,4.6
Nike Mens React Element 55 Running Shoes,1698,92.95,4.2
Reebok Work All Terrain Work,779,99.99,4.2
New Balance Men's 574 Greens Golf Shoe,49,79.98,4.5
Lakai Men's Cambridge Skate Shoe,102,59.99,4.6
"Fila Men's, Midland Trail Running Shoe",1923,59.99,4.4
Nike Men's Flex 2021 Running Shoe,84,89.96,4.3
Columbia Men's Bahama Vent Loco Relax III Boat Shoe,94,41.03,4.2
Rockport Men's Eberdon Loafer,2117,93.5,4.5
Saucony Men's Peregrine 12 Trail Running Shoe,141,129.45,4.4
Saucony Men's Canyon Tr Trail Running Shoe,197,119.95,4.6
Nike Men's Trail Running Shoes,1334,64.98,4.6
Merrell Men's Encore Bypass 2 Moccasin,496,89.82,4.5
adidas Men's Eg4873 Golf Shoe,191,100.0,4.7
Brooks Men's Adrenaline GTS 22 Supportive Running Shoe,2798,139.95,4.7
adidas Men's Lite Racer Adapt 3.0 Running Shoe,65,60.4,4.6
Salomon Men's Alphacross 3 Gore-Tex,174,110.0,4.6
"ALDO Men's PREILIA Sneaker, Black Smooth, 8",37,48.31,4.1
adidas Men's CF Lite Racer Byd,10053,109.27,4.6
adidas Men's Unisex Adicross Zx Primeblue Spikeless Golf Shoes,57,68.0,4.1
adidas Unisex-Adult Dame 8 Basketball Shoe,8,93.94,5.0
Nike Men's Roshe G Tour Golf Shoes,370,84.99,4.4
PUMA Men's Ignite Fasten8 Pro Golf Shoe,225,76.84,4.6
Adidas Wrestling HVC Youth Laced Wrestling Shoe (Toddler/Little Kid/Big Kid),4310,51.01,4.6
