Title,Ratings,Total People Rated,Current Price
Clarks Men's Shacre Ii Run Shoes Moccasin,4.6 out of 5 stars,826,$65.02
PUMA Men's Cell Surin 2 Prism Cross-Trainer Shoe,4.5 out of 5 stars,"10,541",$80.00
New Balance Men's 510 V5 Trail Running Shoe,4.4 out of 5 stars,"4,350",$74.95
Merrell Men's Moab 2 WTPF Hiking Shoe,4.5 out of 5 stars,"7,812",$80.00
Hey Dude Men's Wally Sox Multi Colors MS | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,4.8 out of 5 stars,"1,990",$42.92
MUOU Men's Road Running Shoes Athletic Sport Lightweight Sneakers for Men and Women,4.2 out of 5 stars,"1,113",$38.99
FRSHANIAH Men Athletic Shoes Breathable Running Shoes Non-Slip Fashion Sneakers,4.2 out of 5 stars,"2,980",$45.90
Hey Dude Men's Wally Sox Onyx Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,4.8 out of 5 stars,"47,760",$41.97
Feethit Mens Slip On Walking Shoes Lightweight Breathable Non Slip Running Shoes Comfortable Fashion Sneakers for Men,4.2 out of 5 stars,"4,951",$33.99
Nike Men's Free Run 2 Running Shoes Sneaker 537732 004,4.7 out of 5 stars,38,$85.26
adidas Men's Questar 2022 Running Shoe,4.6 out of 5 stars,168,$59.79
Sperry Men's Mako 2-Eye Boat Shoe,4.7 out of 5 stars,"3,397",$99.95
"Men's Sperry, Bahama II Boat Shoe",4.6 out of 5 stars,"2,462",$54.02
Saucony Men's Cohesion 13 Running Shoe,4.6 out of 5 stars,"3,357",$49.95
Columbia Men's Flow Centre Sneaker,4.4 out of 5 stars,454,$77.74
Reebok Men's Bb4500 Hi 2 Sneaker,4.5 out of 5 stars,"16,007",$50.00
Saucony Men's Core Endorphin Speed 2 Running Shoe,4.7 out of 5 stars,249,$159.95
DUDHUH Running Shoes for Men Comfortable Athletic Cross Trainer Casual Walking Fashion Mens Tennis Sock Sneakers,4.3 out of 5 stars,748,$43.99
SKDOIUL Sports Sneakers for Men Mesh Breathable Fashion Youth Big Boys Trail Walking Shoes Black White Red,4.2 out of 5 stars,"4,271",$39.90
Saucony Men's Kinvara 12 Running Shoe,4.6 out of 5 stars,"1,353",$77.27
Footjoy Men's Men's Fury Golf Shoes,4.6 out of 5 stars,538,$79.99
Columbia Men's Fairbanks Low Sneaker,4.6 out of 5 stars,"1,193",$89.95
New Balance Men's Striker V3 Golf Shoe,4.6 out of 5 stars,179,$109.95
New Balance Men's 577 V1 Hook and Loop Walking Shoe,4.3 out of 5 stars,"15,594",$79.95
adidas Men's Runfalcon 2.0 Running Shoe,4.6 out of 5 stars,698,$54.00
Columbia Men's Bahama Vent Loco Relax III Boat Shoe,4.7 out of 5 stars,443,$48.00
Body Glove Men's 3T Barefoot Cinch Water Shoe,4.3 out of 5 stars,"3,374",$39.99
Rockport Men's Chranson Walking Shoe,4.3 out of 5 stars,"7,759",$71.39
Nike Men's Air Force 1 '07 An20 Basketball Shoe,4.6 out of 5 stars,"4,207",$139.95
SKDOIUL Sport Running Shoes for Mens Mesh Breathable Trail Runners Fashion Sneakers,4.2 out of 5 stars,"8,872",$39.90
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,4.1 out of 5 stars,"11,553",$27.22
Slow Man Men's Running Shoes - Men's Walking Shoes Knit Mesh Breathable Athletic Sneakers Slip On Tennis Comfortable Cushioning Lightweight Gym Sport Shoes,4.3 out of 5 stars,947,$41.99
TSIODFO Men's Sneakers Sport Running Athletic Tennis Walking Shoes…,4.3 out of 5 stars,"6,050",$46.90
"PUMA mens Axelion Running Shoe, Black/High Risk Red, 10.5 US",4.5 out of 5 stars,60,$60.35
Columbia Men's Redmond Iii Hiking Shoe,4.4 out of 5 stars,188,$67.26
Salomon Men's Alphacross 3 Trail Running,4.5 out of 5 stars,399,$83.06
adidas Men's Runfalcon 2.0 Running Shoe,4.6 out of 5 stars,"1,900",$49.00
Bruno Marc Men's Mesh Sneakers Oxfords Lightweight Shoes,4.6 out of 5 stars,"5,341",$52.99
Reebok Men's Classic Nylon Sneaker,4.7 out of 5 stars,"5,230",$54.95
Columbia Men's Bahama Vent PFG Boat Shoe,4.7 out of 5 stars,"4,782",$69.95
Columbia Men's Slack Tide Slip PFG Boat Shoe,4.5 out of 5 stars,359,$42.00
Giro Stylus Men's Road Cycling Shoes,4.5 out of 5 stars,226,$82.45
Under Armour Men's Charged Impulse 2 Running Shoe,4.5 out of 5 stars,696,$69.99
Saucony Unisex-Adult Men's Cohesion 11 Running Shoe,4.5 out of 5 stars,"3,579",$58.89
WHITIN Men's Wide Minimalist Barefoot Sneakers | Zero Drop Sole | Optimal Relaxation,4.5 out of 5 stars,"1,069",$39.99
PUMA Men's Ignite Fasten8 Golf Shoe,4.6 out of 5 stars,657,$82.33
Champion Rally Pro,4.7 out of 5 stars,"2,611",$79.99
Columbia Men's Bonehead PFG Boat Shoes,4.5 out of 5 stars,78,$74.99
New Balance Men's 877 V1 Walking Shoe,4.4 out of 5 stars,"7,826",$99.95
Dr. Scholl's Men's Sync Oxford,4.4 out of 5 stars,"3,197",$70.00
New Balance Men's Fresh Foam Beacon V3 Running Shoe,4.5 out of 5 stars,"1,211",$89.95
Nike Men's Ad Comfort NSW Running,4.4 out of 5 stars,82,$61.34
Men's Black Canvas Sneaker Low Top Classic Fashion Shoes with Soft Insole Causal Dress Shoes for Men Comfortable Walking Shoes,4.4 out of 5 stars,53,$29.99
"Tommaso Veloce 100 Men's Cycling Shoes, Lightweight Triathlon, Road, Indoor Cycling Shoe and Bundle, SPD Look Delta White, Black",5.0 out of 5 stars,1,$79.95
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,4.1 out of 5 stars,"11,553",$39.09
Tommaso Veloce II Cycling Shoes - Ride in Style - Peloton Shoes Triathlon Road Bike Indoor Cycling Men Women Compatible with Look Delta SPD SPD-SL Cleats White Black,4.3 out of 5 stars,5,$79.95
FRSHANIAH Men Athletic Shoes Breathable Running Shoes Non-Slip Fashion Sneakers,4.2 out of 5 stars,"2,980",$45.90
"Tommaso Veloce 100 Men's Cycling Shoes, Lightweight Triathlon, Road, Indoor Cycling Shoe and Bundle, SPD Look Delta White, Black",5.0 out of 5 stars,1,$79.95
PUMA Men's Cell Surin 2 Prism Cross-Trainer Shoe,4.5 out of 5 stars,"10,541",$80.00
Nike Infinity G Men's Waterproof Spiked Golf Shoes Black-White Size 10.5W,5.0 out of 5 stars,3,$101.43
FRSHANIAH Men Athletic Shoes Breathable Running Shoes Non-Slip Fashion Sneakers,4.2 out of 5 stars,"2,980",$45.90
Hey Dude Men's Wally Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,4.8 out of 5 stars,"44,637",$59.95
Feethit Mens Slip On Walking Shoes Lightweight Breathable Non Slip Running Shoes Comfortable Fashion Sneakers for Men,4.2 out of 5 stars,"4,951",$33.99
Tommaso Strada Ready to Ride Mens Indoor Cycling Shoes with Pre-Installed SPD Cleats for Echelon & Bowflex Spin Bikes - Optimized Bike Shoes for Men with Required SPD Shoe Clips for Spinning,4.4 out of 5 stars,468,$99.95
ASICS Men's Gel-Nimbus 23 Running Shoes,4.6 out of 5 stars,"3,051",$149.99
"adidas Men's X9000L1 Sportswear Shoe, Shadow Navy/Core Black/Carbon, 11",4.5 out of 5 stars,63,$62.84
ALTRA Men's AL0A547L Lone Peak 6 Trail Running Shoe,4.6 out of 5 stars,409,$134.89
Cole Haan Men's Original Grand Shortwing Oxford Shoe,4.7 out of 5 stars,"6,494",$159.95
FootJoy Men's Premiere Series-Packard Golf Shoe,4.6 out of 5 stars,310,$199.95
KEEN Men's Targhee III Waterproof Leather Hiking Shoe,4.5 out of 5 stars,"3,390",$164.95
TOMS Men's Trvl Lite 2.0 Low Sneaker,4.5 out of 5 stars,58,$69.95
Sperry Men's Gold Cup Authentic Original 2-Eye Boat Shoe,4.6 out of 5 stars,"1,346",$96.99
Giro Cadet Men's Road Cycling Shoes,4.7 out of 5 stars,123,$123.70
FootJoy Men's Flex Golf Shoe,4.6 out of 5 stars,"2,002",$99.95
"FootFitter Western Cedar Boot Tree - Best Shoe Trees for Western Cowboy Style Boots with USA Wood - CW12, 2 PACK",4.6 out of 5 stars,145,$57.95
"3ANGNI Sport Running Insoles For Men Women, Arch Support Insoles for Plantar Fasciitis, Shoes Insole Flat Feet, Foot Pain, Heel Spur, Shock Absorption Orthotic Inserts Cushion Comfort Standing All Day",4.3 out of 5 stars,11,$27.98
TIAMOU Men Running Walking Shoes Sport Athletic Wihte Jogging Sneakers,4.2 out of 5 stars,"9,013",$45.99
STACY ADAMS Men's Desmond Cap Toe Monk Strap Loafer,4.6 out of 5 stars,509,$64.98
Reebok Men's Nano X1 Cross Trainer,4.4 out of 5 stars,"3,015",$139.99
Nike Free Run 2 Mens Shoes,4.1 out of 5 stars,28,$77.47
Columbia Men's Fairbanks Low Sneaker,4.6 out of 5 stars,"1,193",$89.95
New Balance Men's Breeze V2 Golf Shoe,4.7 out of 5 stars,"1,044",$79.95
Fila MB Stitch,4.5 out of 5 stars,33,$71.25
adidas Men's ZG21 Golf Shoe,4.7 out of 5 stars,646,$169.00
PUMA Men's Proadapt Alphacat Golf Shoe,4.7 out of 5 stars,59,$150.10
FootJoy Men's Fj Fuel Golf Shoe,4.6 out of 5 stars,244,$129.95
New Balance Men's Fresh Foam Pacesl Boa Golf Shoe,4.5 out of 5 stars,54,$127.11
PUMA Golf Grip Fusion Pro 3.0 Spikeless Shoes,4.6 out of 5 stars,310,$79.99
SKDOIUL Sport Running Shoes for Mens Mesh Breathable Trail Runners Fashion Sneakers,4.2 out of 5 stars,"8,872",$39.90
VAMJAM Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,4.2 out of 5 stars,"4,109",$34.99
KEEZMZ Men's Running Shoes Fashion Breathable Sneakers Mesh Soft Sole Casual Athletic Lightweight,4.1 out of 5 stars,"6,710",$29.99
UIN Men's Walking Travel Shoes Slip On Canvas Casual Loafers Lightweight Comfort Art Painted Fashion Sneaker,4.5 out of 5 stars,903,$80.00
adidas Men's Runfalcon 2.0 Running Shoe,4.6 out of 5 stars,698,$54.00
adidas Men's Zg21 Motion Primegreen Golf Shoes,4.7 out of 5 stars,156,$171.97
adidas Men's Codechaos Spikeless Golf Shoes,4.5 out of 5 stars,50,$99.00
Body Glove Men's Sidewinder Water Shoe,4.2 out of 5 stars,125,$29.99
New Balance Men's Fresh Foam Arishi V3 Running Shoe,4.5 out of 5 stars,"6,209",$64.89
Skechers Men's Cessnock Food Service Shoe,4.5 out of 5 stars,"20,242",$65.95
Body Glove Men's 3T Barefoot Cinch Water Shoe,4.3 out of 5 stars,"3,374",$39.99
ECCO Men's S-Three Boa Gore-tex Waterproof Hybrid Golf Shoe,4.7 out of 5 stars,38,$230.00
adidas Solarglide 5 Shoes Men's,4.4 out of 5 stars,12,$70.93
Nike Men's Roshe G Tour Golf Shoes,4.4 out of 5 stars,370,$112.05
Feetmat Men's Non Slip Gym Sneakers Lightweight Breathable Athletic Running Walking Tennis Shoes,4.0 out of 5 stars,"2,729",$40.99
adidas Men's X9000L1 Sportswear Shoe,4.5 out of 5 stars,632,$59.99
"adidas Men's HVC Wrestling Shoe, Black/White/Iron Metallic, 12",4.5 out of 5 stars,263,$52.09
"adidas Men's ZG21 Motion Primegreen Golf Shoes, Non-Dyed/Halo Mint/Non-Dyed, 12",5.0 out of 5 stars,1,$89.99
Merrell Men's Jungle Moc Slip-On Shoe,4.7 out of 5 stars,"32,582",$55.28
Puma Men's 193849 Golf Shoe,4.2 out of 5 stars,59,$152.92
"NIKE Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning",4.6 out of 5 stars,"18,420",$97.61
Columbia Men's Slack Tide Slip PFG Boat Shoe,4.5 out of 5 stars,359,$42.00
"Fizik Tempo Overcurve R5, Unisex Cycling Shoe",4.5 out of 5 stars,946,$105.56
Giro Ranger Mens Mountain Cycling Shoes,4.5 out of 5 stars,130,$109.95
FootJoy Men's Premiere Series-Tarlow Golf Shoe,4.7 out of 5 stars,227,$199.95
"Tommaso Strada Mens Cycling Shoes for Road Bikes – Universally Compatible with All Shoe Clips & Bike Cleats, from SPD to Look Delta to Speedplay – Bike Shoes for Road Biking & Indoor Cycling",4.3 out of 5 stars,294,$74.95
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,4.1 out of 5 stars,"11,553",$39.09
Tommaso Veloce II Cycling Shoes - Ride in Style - Peloton Shoes Triathlon Road Bike Indoor Cycling Men Women Compatible with Look Delta SPD SPD-SL Cleats White Black,4.3 out of 5 stars,5,$79.95
FRSHANIAH Men Athletic Shoes Breathable Running Shoes Non-Slip Fashion Sneakers,4.2 out of 5 stars,"2,980",$45.90
"Tommaso Veloce 100 Men's Cycling Shoes, Lightweight Triathlon, Road, Indoor Cycling Shoe and Bundle, SPD Look Delta White, Black",5.0 out of 5 stars,1,$79.95
Sperry Men's Gold Cup Authentic Original 2-Eye Boat Shoe,4.6 out of 5 stars,"1,346",$96.99
Clarks Men's Escalade Step,4.5 out of 5 stars,"6,588",$54.00
New Balance Men's Fresh Foam Arishi V1 Running Shoe,4.5 out of 5 stars,"6,459",$84.97
Hey Dude Men's Wally Sox Multi Colors MS | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,4.8 out of 5 stars,"1,990",$42.92
FRSHANIAH Men Athletic Shoes Breathable Running Shoes Non-Slip Fashion Sneakers,4.2 out of 5 stars,"2,980",$45.90
Hey Dude Men's Wally Sox Onyx Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,4.8 out of 5 stars,"47,760",$41.97
Hey Dude Men's Wally Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,4.8 out of 5 stars,"44,637",$59.95
PUMA Men's Proadapt Alphacat Golf Shoe,4.7 out of 5 stars,59,$150.10
PUMA Golf Grip Fusion Pro 3.0 Spikeless Shoes,4.6 out of 5 stars,310,$79.99
"NIKE Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning",4.6 out of 5 stars,"18,420",$97.61
Columbia Men's Tamiami PFG Boat Shoe,4.6 out of 5 stars,369,$74.99
adidas Men's X9000l2 Trail Running Shoe,4.2 out of 5 stars,180,$37.68
FootJoy Men's Sneaker-Previous Season Style Golf Shoes,4.5 out of 5 stars,"1,130",$99.95
Nike Men's Stroke Running Shoe,4.4 out of 5 stars,861,$82.70
Stacy Adams Men's Gala Cap-Toe Tuxedo Lace-Up Oxford Shoe,4.6 out of 5 stars,"1,575",$49.40
"FootFitter Western Cedar Boot Tree - Best Shoe Trees for Western Cowboy Style Boots with USA Wood - CW12, 2 PACK",4.6 out of 5 stars,145,$57.95
Reebok Men's Work N Cushion 4.0 Walking Shoe,4.3 out of 5 stars,"2,408",$50.00
Skechers Men's GOrun Consistent-Athletic Workout Running Walking Shoe Sneaker with Air Cooled Foam,4.5 out of 5 stars,"7,601",$65.00
Columbia Men's Bahama Vent Hightide Boat Shoe,4.6 out of 5 stars,207,$56.31
adidas Men's Supernova Cushion,4.4 out of 5 stars,"1,224",$55.26
Clarks Men's Whiddon Step Loafer,4.4 out of 5 stars,362,$90.00
HUK Men's Brewster Slip on Wet Traction Fishing & Deck Shoes Boat,4.6 out of 5 stars,47,$59.99
Dr. Scholl's Shoes Men's Harrington Work Shoe,4.4 out of 5 stars,"1,905",$74.99
Merrell Men's Moab 3 Hiking Shoe,4.2 out of 5 stars,11,$76.99
Columbia Men's Redmond Iii Waterproof Hiking Shoe,4.6 out of 5 stars,264,$100.00
"OluKai Nanea Li Men's Sneaker Shoes, Weather-Resistant & Breathable Canvas, Comfort Fit & Wet Grip Rubber Soles",3.5 out of 5 stars,2,$120.00
Nautica Mens Athletic Water Shoes | Aqua Socks |Quick Dry | Slip-on/Elastic Lace Sandals - Marcc/Wesson,4.5 out of 5 stars,423,$26.98
SKDOIUL Sport Running Shoes for Mens Mesh Breathable Trail Runners Fashion Sneakers,4.2 out of 5 stars,"8,872",$39.90
VAMJAM Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,4.2 out of 5 stars,"4,109",$34.99
KEEZMZ Men's Running Shoes Fashion Breathable Sneakers Mesh Soft Sole Casual Athletic Lightweight,4.1 out of 5 stars,"6,710",$29.99
TSIODFO Men's Sneakers Sport Running Athletic Tennis Walking Shoes…,4.3 out of 5 stars,"6,050",$46.90
Skechers GO GOLF Men's Max Golf Shoe,4.6 out of 5 stars,"5,025",$46.18
FootJoy Men's Fj Flex Coastal Golf Shoe,4.6 out of 5 stars,181,$99.95
Nike Unisex-Adult Fitness Shoes,4.6 out of 5 stars,"1,594",$67.31
Columbia Men's Summertide Water Shoe,4.5 out of 5 stars,266,$64.66
Salomon Men's Outline GTX Hiking,4.4 out of 5 stars,"1,138",$97.46
Skechers Men's Gowalk 6-Stretch Fit Slip-on Athletic Performance Walking Shoe,4.6 out of 5 stars,910,$62.19
Brooks Men's Ghost 14 Neutral Running Shoe,4.7 out of 5 stars,"5,413",$129.95
"Reebok Men's Work N Cushion 4.0 Walking Shoe, Black/Cold Grey",4.3 out of 5 stars,"1,407",$50.31
Rockport Men's Get Your Kicks Slip-On Loafer,4.2 out of 5 stars,"1,833",$65.97
Merrell Men's Jungle Moc LTR 2 Moccasin,4.5 out of 5 stars,"1,698",$85.00
Nunn Bush Men's Sherman Slip-Resistant Work Shoe Oxford Sneaker,4.1 out of 5 stars,"1,851",$55.05
New Balance Men's Dynasoft Pesu V1 Running Shoe,4.4 out of 5 stars,718,$50.99
ALTRA Men's AL0A547L Lone Peak 6 Trail Running Shoe,4.6 out of 5 stars,409,$134.89
Nike Free Run 2 Mens Shoes,4.1 out of 5 stars,28,$77.47
Rockport Men's M7100 Milprowalker,4.4 out of 5 stars,"4,957",$72.99
Sperry Men's Soletide U-Throat Sneaker,4.5 out of 5 stars,186,$51.30
Stacy Adams Men's Dickinson Cap-Toe Lace-up Oxford,4.6 out of 5 stars,"5,365",$62.36
Columbia Men's Bahama Vent Loco Relax Iii Boat Shoe,4.7 out of 5 stars,89,$40.00
Reebok Men's Floatride Energy 3.0 Running Shoe,4.6 out of 5 stars,205,$70.33
Columbia Men's Dorado CVO PFG Boat Shoe,4.6 out of 5 stars,"1,370",$68.35
Fila mens Memory Workshift,4.4 out of 5 stars,339,$43.98
"Tommaso Strada Mens Cycling Shoes for Road Bikes – Universally Compatible with All Shoe Clips & Bike Cleats, from SPD to Look Delta to Speedplay – Bike Shoes for Road Biking & Indoor Cycling",4.3 out of 5 stars,294,$74.95
UIN Men's Walking Travel Shoes Slip On Canvas Casual Loafers Lightweight Comfort Art Painted Fashion Sneaker,4.5 out of 5 stars,903,$80.00
SKDOIUL Men Sport Running Shoes Mesh Breathable Trail Runners Fashion Sneakers,4.2 out of 5 stars,"4,207",$39.01
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,4.1 out of 5 stars,"11,553",$39.09
Tommaso Veloce II Cycling Shoes - Ride in Style - Peloton Shoes Triathlon Road Bike Indoor Cycling Men Women Compatible with Look Delta SPD SPD-SL Cleats White Black,4.3 out of 5 stars,5,$79.95
FRSHANIAH Men Athletic Shoes Breathable Running Shoes Non-Slip Fashion Sneakers,4.2 out of 5 stars,"2,980",$45.90
"Tommaso Veloce 100 Men's Cycling Shoes, Lightweight Triathlon, Road, Indoor Cycling Shoe and Bundle, SPD Look Delta White, Black",5.0 out of 5 stars,1,$79.95
Nike Free Run 2 Mens Shoes,4.1 out of 5 stars,28,$77.47
adidas Men's Hoops 3.0 Basketball Shoe,4.6 out of 5 stars,74,$61.88
New Balance Men's Fresh Foam Arishi V3 Classic Running Shoe,4.5 out of 5 stars,"1,267",$77.44
